"X4","Name","I","i","C","c","P","p","M","m"
5,"Opossum",5,4,1,1,3,3,4,4
6,"Hairy tail mole",3,3,1,1,4,4,3,3
7,"Common mole",3,2,1,0,3,3,3,3
8,"Star nose mole",3,3,1,1,4,4,3,3
9,"Brown bat",2,3,1,1,3,3,3,3
10,"Silver hair bat",2,3,1,1,2,3,3,3
11,"Pigmy bat",2,3,1,1,2,2,3,3
12,"House bat",2,3,1,1,1,2,3,3
13,"Red bat",1,3,1,1,2,2,3,3
14,"Hoary bat",1,3,1,1,2,2,3,3
15,"Lump nose bat",2,3,1,1,2,3,3,3
16,"Armadillo",0,0,0,0,0,0,8,8
17,"Pika",2,1,0,0,2,2,3,3
18,"Snowshoe rabbit",2,1,0,0,3,2,3,3
19,"Beaver",1,1,0,0,2,1,3,3
20,"Marmot",1,1,0,0,2,1,3,3
21,"Groundhog",1,1,0,0,2,1,3,3
22,"Prairie Dog",1,1,0,0,2,1,3,3
23,"Ground Squirrel",1,1,0,0,2,1,3,3
24,"Chipmunk",1,1,0,0,2,1,3,3
25,"Gray squirrel",1,1,0,0,1,1,3,3
26,"Fox squirrel",1,1,0,0,1,1,3,3
27,"Pocket gopher",1,1,0,0,1,1,3,3
28,"Kangaroo rat",1,1,0,0,1,1,3,3
29,"Pack rat",1,1,0,0,0,0,3,3
30,"Field mouse",1,1,0,0,0,0,3,3
31,"Muskrat",1,1,0,0,0,0,3,3
32,"Black rat",1,1,0,0,0,0,3,3
33,"House mouse",1,1,0,0,0,0,3,3
34,"Porcupine",1,1,0,0,1,1,3,3
35,"Guinea pig",1,1,0,0,1,1,3,3
36,"Coyote",1,3,1,1,4,4,3,3
37,"Wolf",3,3,1,1,4,4,2,3
38,"Fox",3,3,1,1,4,4,2,3
39,"Bear",3,3,1,1,4,4,2,3
40,"Civet cat",3,3,1,1,4,4,2,2
41,"Raccoon",3,3,1,1,4,4,3,2
42,"Marten",3,3,1,1,4,4,1,2
43,"Fisher",3,3,1,1,4,4,1,2
44,"Weasel",3,3,1,1,3,3,1,2
45,"Mink",3,3,1,1,3,3,1,2
46,"Ferrer",3,3,1,1,3,3,1,2
47,"Wolverine",3,3,1,1,4,4,1,2
48,"Badger",3,3,1,1,3,3,1,2
49,"Skunk",3,3,1,1,3,3,1,2
50,"River otter",3,3,1,1,4,3,1,2
51,"Sea otter",3,2,1,1,3,3,1,2
52,"Jaguar",3,3,1,1,3,2,1,1
53,"Ocelot",3,3,1,1,3,2,1,1
54,"Cougar",3,3,1,1,3,2,1,1
55,"Lynx",3,3,1,1,3,2,1,1
56,"Fur seal",3,2,1,1,4,4,1,1
57,"Sea lion",3,2,1,1,4,4,1,1
58,"Walrus",1,0,1,1,3,3,0,0
59,"Grey seal",3,2,1,1,3,3,2,2
60,"Elephant seal",2,1,1,1,4,4,1,1
61,"Peccary",2,3,1,1,3,3,3,3
62,"Elk",0,4,1,0,3,3,3,3
63,"Deer",0,4,0,0,3,3,3,3
64,"Moose",0,4,0,0,3,3,3,3
65,"Reindeer",0,4,1,0,3,3,3,3
66,"Antelope",0,4,0,0,3,3,3,3
67,"Bison",0,4,0,0,3,3,3,3
68,"Mountain goat",0,4,0,0,3,3,3,3
69,"Musk ox",0,4,0,0,3,3,3,3
70,"Mountain sheep",0,4,0,0,3,3,3,3
